# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
 411900    1.33e-01  2.70e-02    4.22e-02  2.86e-03    2.13e-02  6.54e-03    7.5e-05
 412000    1.36e-01  1.55e-01    4.26e-02  6.22e-02    2.19e-02  8.37e-03    7.5e-05
 412100    1.52e-01  4.26e-02    5.06e-02  3.08e-03    2.22e-02  1.05e-02    7.5e-05
 412200    1.49e-01  1.18e-01    5.06e-02  2.94e-02    2.10e-02  2.36e-02    7.5e-05
 412300    1.28e-01  9.86e-02    3.93e-02  9.11e-03    2.12e-02  2.41e-02    7.5e-05
 412400    1.42e-01  2.02e-01    4.73e-02  7.89e-02    2.08e-02  1.57e-02    7.5e-05
 412500    1.41e-01  4.27e-02    4.60e-02  6.71e-03    2.16e-02  9.89e-03    7.5e-05
 412600    1.33e-01  1.58e-01    4.19e-02  5.07e-02    2.15e-02  2.50e-02    7.5e-05
 412700    1.32e-01  1.80e-01    4.02e-02  5.51e-02    2.24e-02  3.02e-02    7.5e-05
 412800    1.31e-01  1.79e-01    3.96e-02  6.51e-02    2.21e-02  2.12e-02    7.5e-05
 412900    1.46e-01  9.56e-02    4.62e-02  1.05e-02    2.35e-02  2.31e-02    7.5e-05
 413000    1.29e-01  6.50e-02    4.02e-02  2.19e-02    2.11e-02  9.34e-03    7.5e-05
 413100    1.42e-01  1.37e-01    4.65e-02  9.42e-03    2.17e-02  3.38e-02    7.5e-05
 413200    1.35e-01  9.12e-02    4.07e-02  2.81e-02    2.30e-02  1.52e-02    7.5e-05
 413300    1.28e-01  5.46e-02    3.83e-02  1.59e-02    2.19e-02  9.66e-03    7.5e-05
 413400    1.27e-01  9.05e-02    3.92e-02  2.59e-02    2.11e-02  1.63e-02    7.5e-05
 413500    1.30e-01  1.14e-01    3.96e-02  4.13e-02    2.19e-02  1.36e-02    7.5e-05
 413600    1.31e-01  8.43e-02    4.08e-02  3.18e-03    2.16e-02  2.11e-02    7.5e-05
 413700    1.41e-01  8.96e-02    4.21e-02  2.79e-02    2.42e-02  1.47e-02    7.5e-05
 413800    1.45e-01  5.86e-02    4.58e-02  8.70e-03    2.32e-02  1.37e-02    7.5e-05
 413900    1.34e-01  6.46e-02    4.08e-02  5.41e-03    2.26e-02  1.59e-02    7.5e-05
 414000    1.38e-01  5.02e-02    4.28e-02  1.76e-02    2.27e-02  6.55e-03    7.5e-05
 414100    1.30e-01  1.00e-01    3.94e-02  3.40e-02    2.20e-02  1.42e-02    7.5e-05
 414200    1.52e-01  8.65e-02    5.09e-02  7.88e-03    2.22e-02  2.11e-02    7.5e-05
 414300    1.36e-01  1.20e-01    4.39e-02  4.58e-02    2.12e-02  1.09e-02    7.5e-05
 414400    1.29e-01  1.20e-01    3.83e-02  4.23e-02    2.25e-02  1.56e-02    7.5e-05
 414500    1.26e-01  1.71e-01    3.93e-02  4.50e-02    2.07e-02  3.30e-02    7.5e-05
 414600    1.31e-01  8.41e-02    4.17e-02  3.13e-02    2.07e-02  8.90e-03    7.5e-05
 414700    1.47e-01  1.60e-01    4.66e-02  6.38e-02    2.36e-02  9.46e-03    7.5e-05
 414800    1.36e-01  1.25e-01    4.44e-02  3.77e-02    2.06e-02  2.12e-02    7.5e-05
 414900    1.26e-01  5.49e-02    3.95e-02  1.21e-02    2.06e-02  1.16e-02    7.5e-05
 415000    1.37e-01  9.84e-02    3.88e-02  2.35e-02    2.53e-02  2.06e-02    7.1e-05
 415100    1.32e-01  1.51e-01    4.38e-02  3.22e-02    2.01e-02  3.30e-02    7.1e-05
 415200    1.32e-01  1.49e-01    4.29e-02  3.66e-02    2.08e-02  3.08e-02    7.1e-05
 415300    1.30e-01  3.32e-01    4.12e-02  1.00e-01    2.14e-02  5.78e-02    7.1e-05
 415400    1.38e-01  8.49e-02    4.59e-02  1.46e-02    2.08e-02  1.98e-02    7.1e-05
 415500    1.27e-01  7.29e-02    3.97e-02  2.42e-02    2.12e-02  1.10e-02    7.1e-05
 415600    1.35e-01  8.85e-02    4.45e-02  2.04e-04    2.08e-02  2.27e-02    7.1e-05
 415700    1.24e-01  1.43e-01    3.83e-02  5.71e-02    2.11e-02  9.02e-03    7.1e-05
 415800    1.28e-01  6.85e-02    3.90e-02  7.94e-03    2.20e-02  1.69e-02    7.1e-05
 415900    1.24e-01  6.48e-02    3.81e-02  1.54e-02    2.12e-02  1.36e-02    7.1e-05
 416000    1.32e-01  2.02e-01    4.20e-02  8.10e-02    2.13e-02  1.11e-02    7.1e-05
 416100    1.35e-01  1.05e-01    4.52e-02  3.66e-02    2.03e-02  1.45e-02    7.1e-05
 416200    1.36e-01  1.55e-01    4.29e-02  6.21e-02    2.24e-02  9.41e-03    7.1e-05
 416300    1.27e-01  6.37e-02    4.00e-02  1.33e-02    2.09e-02  1.41e-02    7.1e-05
 416400    1.30e-01  9.47e-02    4.23e-02  9.96e-03    2.05e-02  2.35e-02    7.1e-05
 416500    1.31e-01  4.56e-02    4.25e-02  1.84e-03    2.08e-02  1.16e-02    7.1e-05
 416600    1.60e-01  6.88e-02    5.57e-02  1.47e-02    2.19e-02  1.51e-02    7.1e-05
 416700    1.28e-01  1.88e-01    3.93e-02  5.79e-02    2.18e-02  3.21e-02    7.1e-05
 416800    1.33e-01  6.84e-02    4.19e-02  2.41e-02    2.19e-02  8.99e-03    7.1e-05
 416900    1.26e-01  1.21e-01    3.85e-02  3.31e-02    2.17e-02  2.33e-02    7.1e-05
 417000    1.35e-01  1.07e-01    4.38e-02  3.78e-02    2.15e-02  1.39e-02    7.1e-05
 417100    1.36e-01  5.35e-02    4.42e-02  2.00e-02    2.15e-02  5.65e-03    7.1e-05
 417200    1.28e-01  1.41e-01    4.12e-02  4.30e-02    2.07e-02  2.43e-02    7.1e-05
 417300    1.33e-01  2.70e-02    4.32e-02  8.63e-03    2.09e-02  4.37e-03    7.1e-05
 417400    1.28e-01  5.10e-02    4.05e-02  1.80e-02    2.09e-02  6.73e-03    7.1e-05
 417500    1.37e-01  5.85e-02    4.37e-02  1.44e-02    2.23e-02  1.20e-02    7.1e-05
 417600    1.29e-01  9.57e-02    4.11e-02  3.72e-02    2.11e-02  7.96e-03    7.1e-05
 417700    1.35e-01  1.22e-01    4.41e-02  4.49e-02    2.10e-02  1.41e-02    7.1e-05
 417800    1.34e-01  2.45e-01    4.25e-02  8.49e-02    2.18e-02  3.39e-02    7.1e-05
 417900    1.30e-01  1.83e-01    4.19e-02  7.08e-02    2.06e-02  1.62e-02    7.1e-05
 418000    1.39e-01  1.82e-01    4.64e-02  6.54e-02    2.08e-02  2.26e-02    7.1e-05
 418100    1.33e-01  1.39e-01    4.36e-02  4.53e-02    2.05e-02  2.17e-02    7.1e-05
 418200    1.37e-01  1.81e-01    4.51e-02  4.94e-02    2.10e-02  3.48e-02    7.1e-05
 418300    1.27e-01  9.73e-02    3.99e-02  2.48e-02    2.12e-02  1.96e-02    7.1e-05
 418400    1.28e-01  1.45e-01    4.02e-02  5.35e-02    2.12e-02  1.66e-02    7.1e-05
 418500    1.25e-01  1.34e-01    3.88e-02  5.18e-02    2.10e-02  1.17e-02    7.1e-05
 418600    1.31e-01  8.83e-02    4.08e-02  2.30e-02    2.21e-02  1.76e-02    7.1e-05
 418700    1.27e-01  5.66e-02    3.93e-02  2.00e-02    2.14e-02  7.42e-03    7.1e-05
 418800    1.34e-01  4.49e-02    4.15e-02  2.18e-03    2.24e-02  1.14e-02    7.1e-05
 418900    1.25e-01  8.33e-02    3.86e-02  5.35e-03    2.12e-02  2.11e-02    7.1e-05
 419000    1.25e-01  1.30e-01    3.79e-02  4.49e-02    2.16e-02  1.81e-02    7.1e-05
 419100    1.24e-01  6.15e-02    3.88e-02  1.04e-02    2.08e-02  1.44e-02    7.1e-05
 419200    1.40e-01  8.12e-02    4.71e-02  2.96e-02    2.07e-02  9.69e-03    7.1e-05
 419300    1.41e-01  1.21e-01    4.78e-02  6.56e-03    2.03e-02  3.09e-02    7.1e-05
 419400    1.22e-01  7.74e-02    3.82e-02  1.00e-02    2.02e-02  1.89e-02    7.1e-05
 419500    1.25e-01  1.64e-01    3.96e-02  6.50e-02    2.03e-02  1.07e-02    7.1e-05
 419600    1.57e-01  9.80e-02    5.53e-02  3.64e-02    2.09e-02  1.08e-02    7.1e-05
 419700    1.28e-01  2.11e-01    4.00e-02  5.98e-02    2.15e-02  3.93e-02    7.1e-05
 419800    1.50e-01  8.52e-02    5.19e-02  1.59e-02    2.08e-02  1.95e-02    7.1e-05
 419900    1.36e-01  1.27e-01    4.47e-02  4.26e-02    2.10e-02  1.86e-02    7.1e-05
 420000    1.26e-01  9.06e-02    3.95e-02  1.40e-02    2.13e-02  2.21e-02    6.7e-05
 420100    1.37e-01  1.60e-01    4.54e-02  6.41e-02    2.13e-02  9.76e-03    6.7e-05
 420200    1.48e-01  1.30e-01    4.98e-02  4.18e-02    2.23e-02  2.15e-02    6.7e-05
 420300    1.24e-01  9.55e-02    3.79e-02  2.26e-02    2.18e-02  2.06e-02    6.7e-05
 420400    1.24e-01  8.28e-02    3.80e-02  3.16e-02    2.17e-02  8.18e-03    6.7e-05
 420500    1.32e-01  1.71e-01    4.32e-02  2.37e-02    2.09e-02  4.24e-02    6.7e-05
 420600    1.46e-01  5.99e-02    5.02e-02  8.13e-03    2.12e-02  1.49e-02    6.7e-05
 420700    1.34e-01  1.65e-01    4.44e-02  9.51e-04    2.10e-02  4.35e-02    6.7e-05
 420800    1.35e-01  1.55e-01    4.38e-02  5.95e-02    2.18e-02  1.49e-02    6.7e-05
 420900    1.26e-01  6.32e-02    3.95e-02  2.01e-02    2.14e-02  1.05e-02    6.7e-05
 421000    1.34e-01  1.03e-01    4.39e-02  2.73e-03    2.13e-02  2.69e-02    6.7e-05
 421100    1.24e-01  3.80e-02    3.98e-02  5.04e-04    2.05e-02  9.98e-03    6.7e-05
 421200    1.34e-01  1.59e-01    4.46e-02  6.16e-02    2.09e-02  1.36e-02    6.7e-05
 421300    1.25e-01  3.48e-01    3.87e-02  1.31e-01    2.18e-02  3.62e-02    6.7e-05
 421400    1.35e-01  1.55e-01    4.45e-02  6.08e-02    2.13e-02  1.18e-02    6.7e-05
 421500    1.22e-01  1.34e-01    3.84e-02  5.02e-02    2.05e-02  1.46e-02    6.7e-05
 421600    1.23e-01  6.94e-02    3.82e-02  2.64e-02    2.13e-02  6.94e-03    6.7e-05
 421700    1.31e-01  1.70e-01    4.04e-02  6.24e-02    2.28e-02  2.02e-02    6.7e-05
 421800    1.22e-01  1.25e-01    3.86e-02  4.67e-02    2.06e-02  1.37e-02    6.7e-05
 421900    1.32e-01  1.14e-01    4.40e-02  3.09e-02    2.04e-02  2.24e-02    6.7e-05
 422000    1.27e-01  9.06e-02    4.08e-02  3.35e-02    2.06e-02  1.04e-02    6.7e-05
 422100    1.26e-01  8.92e-02    3.82e-02  3.26e-02    2.22e-02  1.07e-02    6.7e-05
 422200    1.26e-01  9.34e-02    3.98e-02  1.34e-02    2.14e-02  2.30e-02    6.7e-05
 422300    1.25e-01  1.50e-01    3.85e-02  2.36e-02    2.16e-02  3.65e-02    6.7e-05
 422400    1.33e-01  1.31e-01    4.35e-02  5.12e-02    2.12e-02  1.07e-02    6.7e-05
 422500    1.37e-01  1.53e-01    4.54e-02  5.78e-02    2.11e-02  1.59e-02    6.7e-05
 422600    1.21e-01  1.43e-01    3.81e-02  5.43e-02    2.03e-02  1.45e-02    6.7e-05
 422700    1.39e-01  1.35e-01    4.57e-02  4.85e-02    2.18e-02  1.73e-02    6.7e-05
 422800    1.53e-01  1.29e-01    5.18e-02  3.79e-02    2.26e-02  2.36e-02    6.7e-05
 422900    1.24e-01  7.90e-02    3.81e-02  2.57e-02    2.18e-02  1.27e-02    6.7e-05
 423000    1.39e-01  7.66e-02    4.57e-02  5.89e-03    2.19e-02  1.98e-02    6.7e-05
 423100    1.23e-01  7.32e-02    3.81e-02  1.10e-02    2.13e-02  1.79e-02    6.7e-05
 423200    1.35e-01  9.88e-02    4.19e-02  1.74e-02    2.34e-02  2.35e-02    6.7e-05
 423300    1.27e-01  6.13e-02    4.04e-02  1.12e-02    2.13e-02  1.44e-02    6.7e-05
 423400    1.33e-01  4.66e-02    4.33e-02  1.16e-02    2.15e-02  9.73e-03    6.7e-05
 423500    1.28e-01  1.31e-01    3.86e-02  3.09e-02    2.27e-02  2.81e-02    6.7e-05
 423600    1.26e-01  1.67e-01    3.97e-02  6.75e-02    2.10e-02  7.49e-03    6.7e-05
 423700    1.38e-01  1.53e-01    4.59e-02  5.85e-02    2.11e-02  1.48e-02    6.7e-05
 423800    1.28e-01  1.30e-01    3.99e-02  1.72e-02    2.17e-02  3.22e-02    6.7e-05
 423900    1.25e-01  1.30e-01    3.93e-02  3.28e-02    2.13e-02  2.70e-02    6.7e-05
 424000    1.24e-01  1.22e-01    3.81e-02  4.84e-02    2.15e-02  8.45e-03    6.7e-05
 424100    1.33e-01  4.82e-01    4.22e-02  1.58e-01    2.20e-02  7.63e-02    6.7e-05
 424200    1.33e-01  1.04e-01    4.42e-02  3.96e-02    2.06e-02  1.02e-02    6.7e-05
 424300    1.37e-01  1.15e-01    4.57e-02  2.80e-02    2.10e-02  2.44e-02    6.7e-05
 424400    1.26e-01  1.14e-01    3.92e-02  1.94e-02    2.16e-02  2.74e-02    6.7e-05
 424500    1.26e-01  2.73e-02    3.98e-02  5.99e-03    2.13e-02  6.09e-03    6.7e-05
 424600    1.23e-01  1.48e-01    3.80e-02  5.31e-02    2.12e-02  1.89e-02    6.7e-05
 424700    1.24e-01  1.23e-01    3.89e-02  4.65e-02    2.12e-02  1.29e-02    6.7e-05
 424800    1.30e-01  1.31e-01    4.15e-02  4.45e-02    2.15e-02  1.94e-02    6.7e-05
 424900    1.36e-01  1.87e-01    4.23e-02  2.20e-02    2.34e-02  4.71e-02    6.7e-05
 425000    1.30e-01  1.59e-01    4.19e-02  5.40e-02    2.18e-02  2.41e-02    6.4e-05
 425100    1.29e-01  3.05e-02    4.23e-02  4.89e-03    2.07e-02  7.58e-03    6.4e-05
 425200    1.40e-01  1.34e-01    4.72e-02  1.24e-02    2.15e-02  3.51e-02    6.4e-05
 425300    1.20e-01  9.84e-02    3.85e-02  1.70e-02    2.04e-02  2.40e-02    6.4e-05
 425400    1.25e-01  1.07e-01    3.94e-02  2.72e-02    2.16e-02  2.26e-02    6.4e-05
 425500    1.28e-01  8.30e-02    4.21e-02  3.02e-02    2.06e-02  1.04e-02    6.4e-05
 425600    1.25e-01  8.09e-02    4.07e-02  2.82e-02    2.07e-02  1.15e-02    6.4e-05
 425700    1.31e-01  8.76e-02    4.32e-02  3.39e-02    2.10e-02  7.97e-03    6.4e-05
 425800    1.41e-01  9.69e-02    4.76e-02  3.55e-02    2.17e-02  1.18e-02    6.4e-05
 425900    1.20e-01  7.24e-02    3.78e-02  1.66e-02    2.08e-02  1.62e-02    6.4e-05
 426000    1.25e-01  1.14e-01    3.88e-02  4.36e-02    2.21e-02  1.11e-02    6.4e-05
 426100    1.23e-01  1.47e-01    3.82e-02  5.59e-02    2.18e-02  1.48e-02    6.4e-05
 426200    1.34e-01  1.36e-01    4.30e-02  4.38e-02    2.24e-02  2.28e-02    6.4e-05
 426300    1.29e-01  2.06e-01    3.97e-02  7.79e-02    2.30e-02  2.15e-02    6.4e-05
 426400    1.45e-01  4.09e-02    4.85e-02  3.98e-03    2.25e-02  1.07e-02    6.4e-05
 426500    1.23e-01  1.08e-01    3.84e-02  4.05e-02    2.17e-02  1.16e-02    6.4e-05
 426600    1.31e-01  5.07e-02    4.14e-02  1.07e-02    2.27e-02  1.17e-02    6.4e-05
 426700    1.24e-01  1.07e-01    3.86e-02  4.17e-02    2.17e-02  8.94e-03    6.4e-05
 426800    1.29e-01  7.66e-02    4.21e-02  1.58e-02    2.13e-02  1.79e-02    6.4e-05
 426900    1.32e-01  6.77e-02    4.34e-02  2.25e-02    2.14e-02  1.07e-02    6.4e-05
 427000    1.32e-01  2.13e-01    4.23e-02  7.30e-02    2.21e-02  3.15e-02    6.4e-05
 427100    1.31e-01  3.99e-02    4.19e-02  3.83e-03    2.23e-02  1.04e-02    6.4e-05
 427200    1.33e-01  1.15e-01    4.26e-02  1.98e-03    2.25e-02  3.10e-02    6.4e-05
 427300    1.28e-01  1.02e-01    3.99e-02  2.12e-02    2.23e-02  2.38e-02    6.4e-05
 427400    1.38e-01  9.67e-02    4.50e-02  3.85e-02    2.24e-02  6.43e-03    6.4e-05
 427500    1.23e-01  8.50e-02    3.84e-02  2.86e-02    2.14e-02  1.32e-02    6.4e-05
 427600    1.28e-01  9.11e-02    3.97e-02  5.63e-03    2.24e-02  2.43e-02    6.4e-05
 427700    1.27e-01  1.97e-01    4.07e-02  6.70e-02    2.16e-02  3.00e-02    6.4e-05
 427800    1.22e-01  2.13e-01    3.83e-02  8.52e-02    2.13e-02  1.28e-02    6.4e-05
 427900    1.27e-01  1.39e-01    4.13e-02  5.15e-02    2.11e-02  1.60e-02    6.4e-05
 428000    1.24e-01  9.11e-02    3.89e-02  3.46e-02    2.15e-02  9.36e-03    6.4e-05
 428100    1.24e-01  2.29e-01    3.92e-02  8.47e-02    2.11e-02  2.67e-02    6.4e-05
 428200    1.22e-01  1.54e-01    3.85e-02  6.08e-02    2.09e-02  1.11e-02    6.4e-05
 428300    1.63e-01  4.94e-02    5.85e-02  3.50e-03    2.12e-02  1.31e-02    6.4e-05
 428400    1.30e-01  9.61e-02    4.22e-02  1.22e-02    2.16e-02  2.46e-02    6.4e-05
 428500    1.33e-01  1.10e-01    4.44e-02  3.60e-02    2.10e-02  1.80e-02    6.4e-05
 428600    1.25e-01  7.07e-02    3.99e-02  7.89e-03    2.11e-02  1.83e-02    6.4e-05
 428700    1.24e-01  7.66e-02    3.95e-02  2.71e-02    2.11e-02  1.05e-02    6.4e-05
 428800    1.25e-01  9.39e-02    4.06e-02  3.68e-02    2.05e-02  7.60e-03    6.4e-05
 428900    1.54e-01  6.13e-02    5.46e-02  2.18e-02    2.10e-02  8.31e-03    6.4e-05
 429000    1.22e-01  2.68e-01    3.89e-02  1.06e-01    2.07e-02  1.93e-02    6.4e-05
 429100    1.26e-01  1.31e-01    4.12e-02  5.23e-02    2.04e-02  8.30e-03    6.4e-05
 429200    1.30e-01  2.79e-02    4.30e-02  2.76e-03    2.09e-02  7.28e-03    6.4e-05
 429300    1.25e-01  1.23e-01    4.05e-02  4.20e-02    2.06e-02  1.84e-02    6.4e-05
 429400    1.28e-01  8.22e-02    4.11e-02  7.21e-04    2.14e-02  2.21e-02    6.4e-05
 429500    1.26e-01  1.58e-01    4.03e-02  6.36e-02    2.13e-02  7.89e-03    6.4e-05
 429600    1.50e-01  1.70e-01    5.13e-02  6.20e-02    2.25e-02  2.12e-02    6.4e-05
 429700    1.22e-01  7.32e-02    3.82e-02  2.81e-04    2.15e-02  1.97e-02    6.4e-05
 429800    1.26e-01  1.34e-01    4.05e-02  7.35e-03    2.11e-02  3.57e-02    6.4e-05
 429900    1.39e-01  9.96e-02    4.67e-02  2.52e-02    2.14e-02  2.11e-02    6.4e-05
 430000    1.23e-01  2.46e-01    4.02e-02  8.19e-02    2.08e-02  3.97e-02    6.1e-05
 430100    1.29e-01  1.10e-01    4.19e-02  1.31e-02    2.18e-02  2.92e-02    6.1e-05
 430200    1.29e-01  1.60e-01    4.27e-02  6.41e-02    2.10e-02  9.38e-03    6.1e-05
 430300    1.25e-01  1.14e-01    4.11e-02  3.20e-02    2.08e-02  2.29e-02    6.1e-05
 430400    1.32e-01  8.26e-02    4.32e-02  2.96e-02    2.20e-02  1.11e-02    6.1e-05
 430500    1.23e-01  3.41e-02    3.93e-02  3.78e-03    2.14e-02  9.06e-03    6.1e-05
 430600    1.21e-01  6.10e-02    3.83e-02  8.59e-03    2.12e-02  1.58e-02    6.1e-05
 430700    1.20e-01  1.52e-01    3.87e-02  4.33e-02    2.07e-02  3.01e-02    6.1e-05
 430800    1.27e-01  1.02e-01    4.22e-02  1.78e-02    2.07e-02  2.54e-02    6.1e-05
 430900    1.51e-01  5.22e-02    5.35e-02  1.76e-02    2.13e-02  8.19e-03    6.1e-05
 431000    1.32e-01  7.56e-02    4.47e-02  1.13e-02    2.09e-02  1.94e-02    6.1e-05
 431100    1.31e-01  1.69e-01    4.36e-02  6.75e-02    2.10e-02  1.09e-02    6.1e-05
 431200    1.20e-01  3.24e-01    3.78e-02  1.07e-01    2.14e-02  5.35e-02    6.1e-05
 431300    1.34e-01  1.17e-01    4.40e-02  2.43e-02    2.23e-02  2.79e-02    6.1e-05
 431400    1.33e-01  1.03e-01    4.16e-02  3.69e-02    2.38e-02  1.41e-02    6.1e-05
 431500    1.28e-01  7.10e-02    4.14e-02  2.05e-02    2.17e-02  1.39e-02    6.1e-05
 431600    1.25e-01  8.65e-02    3.91e-02  2.04e-02    2.23e-02  1.95e-02    6.1e-05
 431700    1.35e-01  7.08e-02    4.39e-02  2.00e-02    2.29e-02  1.42e-02    6.1e-05
 431800    1.41e-01  1.58e-01    4.72e-02  6.21e-02    2.25e-02  1.24e-02    6.1e-05
 431900    1.25e-01  5.34e-02    3.94e-02  2.04e-02    2.20e-02  5.42e-03    6.1e-05
 432000    1.25e-01  1.46e-01    3.98e-02  5.51e-02    2.18e-02  1.62e-02    6.1e-05
 432100    1.29e-01  4.37e-01    4.24e-02  1.31e-01    2.11e-02  8.24e-02    6.1e-05
 432200    1.27e-01  1.47e-01    4.14e-02  5.83e-02    2.13e-02  9.92e-03    6.1e-05
 432300    1.27e-01  1.88e-01    4.03e-02  3.75e-02    2.21e-02  4.53e-02    6.1e-05
 432400    1.38e-01  6.63e-02    4.68e-02  2.28e-02    2.13e-02  1.00e-02    6.1e-05
 432500    1.28e-01  1.15e-01    4.14e-02  3.27e-02    2.16e-02  2.31e-02    6.1e-05
 432600    1.23e-01  1.49e-01    3.98e-02  2.05e-02    2.10e-02  3.87e-02    6.1e-05
 432700    1.23e-01  1.44e-01    3.95e-02  1.80e-02    2.10e-02  3.79e-02    6.1e-05
 432800    1.20e-01  1.05e-01    3.78e-02  1.82e-02    2.13e-02  2.61e-02    6.1e-05
 432900    1.24e-01  1.21e-01    4.03e-02  1.22e-02    2.11e-02  3.24e-02    6.1e-05
 433000    1.35e-01  1.06e-01    4.39e-02  3.54e-02    2.26e-02  1.69e-02    6.1e-05
 433100    1.21e-01  1.60e-01    3.81e-02  6.15e-02    2.14e-02  1.57e-02    6.1e-05
 433200    1.38e-01  1.41e-01    4.62e-02  3.82e-02    2.23e-02  2.92e-02    6.1e-05
 433300    1.25e-01  1.14e-01    4.04e-02  2.12e-02    2.12e-02  2.79e-02    6.1e-05
 433400    1.36e-01  8.36e-02    4.61e-02  3.16e-02    2.09e-02  8.96e-03    6.1e-05
 433500    1.38e-01  4.76e-02    4.76e-02  7.75e-03    2.05e-02  1.20e-02    6.1e-05
 433600    1.19e-01  1.05e-01    3.81e-02  1.37e-02    2.05e-02  2.74e-02    6.1e-05
 433700    1.29e-01  2.65e-02    4.22e-02  1.72e-03    2.17e-02  7.21e-03    6.1e-05
 433800    1.21e-01  1.57e-01    3.91e-02  4.93e-02    2.06e-02  2.79e-02    6.1e-05
 433900    1.27e-01  8.03e-02    3.98e-02  2.95e-02    2.24e-02  9.82e-03    6.1e-05
 434000    1.44e-01  1.02e-01    5.00e-02  3.64e-02    2.13e-02  1.38e-02    6.1e-05
 434100    1.31e-01  4.42e-02    4.40e-02  1.15e-02    2.08e-02  9.46e-03    6.1e-05
 434200    1.28e-01  1.27e-01    4.22e-02  4.47e-02    2.11e-02  1.81e-02    6.1e-05
 434300    1.20e-01  5.39e-02    3.85e-02  2.76e-03    2.07e-02  1.47e-02    6.1e-05
 434400    1.25e-01  3.54e-02    4.14e-02  3.68e-03    2.05e-02  9.44e-03    6.1e-05
 434500    1.21e-01  7.84e-02    3.94e-02  2.26e-02    2.03e-02  1.54e-02    6.1e-05
 434600    1.23e-01  1.26e-01    4.03e-02  1.35e-02    2.07e-02  3.36e-02    6.1e-05
 434700    1.48e-01  1.09e-01    5.21e-02  1.64e-03    2.09e-02  2.99e-02    6.1e-05
 434800    1.31e-01  3.30e-01    4.17e-02  9.81e-02    2.27e-02  6.26e-02    6.1e-05
 434900    1.27e-01  1.04e-01    4.10e-02  3.68e-02    2.15e-02  1.45e-02    6.1e-05
 435000    1.33e-01  1.39e-01    4.45e-02  5.48e-02    2.15e-02  1.08e-02    5.8e-05
 435100    1.35e-01  4.07e-02    4.54e-02  1.25e-02    2.17e-02  7.64e-03    5.8e-05
 435200    1.23e-01  1.11e-01    3.94e-02  4.22e-02    2.15e-02  1.14e-02    5.8e-05
 435300    1.20e-01  5.75e-02    3.91e-02  1.71e-02    2.08e-02  1.12e-02    5.8e-05
 435400    1.20e-01  1.60e-01    3.84e-02  6.47e-02    2.13e-02  7.64e-03    5.8e-05
 435500    1.23e-01  2.35e-01    4.06e-02  9.27e-02    2.08e-02  1.81e-02    5.8e-05
 435600    1.43e-01  1.64e-01    5.04e-02  1.86e-02    2.08e-02  4.45e-02    5.8e-05
 435700    1.27e-01  8.50e-02    4.25e-02  2.80e-02    2.09e-02  1.43e-02    5.8e-05
 435800    1.24e-01  1.05e-01    4.02e-02  2.78e-02    2.13e-02  2.26e-02    5.8e-05
 435900    1.30e-01  1.84e-01    4.39e-02  7.17e-02    2.07e-02  1.66e-02    5.8e-05
 436000    1.32e-01  6.23e-02    4.44e-02  2.39e-02    2.16e-02  6.31e-03    5.8e-05
 436100    1.20e-01  1.18e-01    3.94e-02  4.81e-02    2.05e-02  4.90e-03    5.8e-05
 436200    1.22e-01  1.32e-01    3.89e-02  9.68e-03    2.17e-02  3.67e-02    5.8e-05
 436300    1.28e-01  1.64e-01    4.32e-02  6.46e-02    2.06e-02  1.36e-02    5.8e-05
 436400    1.21e-01  1.58e-01    3.97e-02  6.31e-02    2.06e-02  1.08e-02    5.8e-05
 436500    1.34e-01  1.14e-01    4.50e-02  4.46e-02    2.17e-02  9.31e-03    5.8e-05
 436600    1.35e-01  1.85e-01    4.55e-02  6.22e-02    2.15e-02  3.01e-02    5.8e-05
 436700    1.23e-01  1.32e-01    3.98e-02  4.38e-02    2.14e-02  2.19e-02    5.8e-05
 436800    1.24e-01  1.27e-01    3.86e-02  5.02e-02    2.27e-02  9.46e-03    5.8e-05
 436900    1.26e-01  1.15e-01    4.03e-02  4.37e-02    2.22e-02  1.20e-02    5.8e-05
 437000    1.27e-01  6.01e-02    4.16e-02  1.80e-02    2.15e-02  1.16e-02    5.8e-05
 437100    1.22e-01  6.89e-02    3.88e-02  3.20e-03    2.20e-02  1.93e-02    5.8e-05
 437200    1.22e-01  1.32e-01    3.88e-02  3.78e-02    2.16e-02  2.68e-02    5.8e-05
 437300    1.25e-01  1.08e-01    4.12e-02  3.99e-02    2.13e-02  1.35e-02    5.8e-05
 437400    1.25e-01  1.20e-01    4.13e-02  4.63e-02    2.09e-02  1.11e-02    5.8e-05
 437500    1.19e-01  3.57e-01    3.81e-02  1.03e-01    2.09e-02  7.18e-02    5.8e-05
 437600    1.20e-01  8.57e-02    3.94e-02  1.35e-02    2.04e-02  2.24e-02    5.8e-05
 437700    1.31e-01  7.27e-02    4.45e-02  2.36e-02    2.09e-02  1.25e-02    5.8e-05
 437800    1.28e-01  1.08e-01    4.25e-02  4.20e-02    2.14e-02  9.92e-03    5.8e-05
 437900    1.29e-01  2.76e-02    4.33e-02  6.65e-03    2.09e-02  6.29e-03    5.8e-05
 438000    1.21e-01  3.77e-02    3.97e-02  1.01e-02    2.05e-02  8.08e-03    5.8e-05
 438100    1.30e-01  9.52e-02    4.40e-02  1.09e-02    2.06e-02  2.58e-02    5.8e-05
