# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
   8500    3.42e+00  2.94e+00    1.03e-01  1.37e-01    1.11e-01  9.53e-02    4.8e-03
   8600    3.74e+00  3.74e+00    2.88e-01  2.35e-01    1.21e-01  1.21e-01    4.8e-03
   8700    5.64e+00  1.63e+00    1.60e-01  1.35e-01    1.83e-01  5.28e-02    4.8e-03
   8800    3.88e+00  4.39e+00    1.11e-01  1.06e-01    1.26e-01  1.43e-01    4.8e-03
   8900    2.99e+00  3.51e+00    4.71e-02  4.83e-03    9.69e-02  1.14e-01    4.8e-03
   9000    4.07e+00  2.04e+00    1.71e-01  1.13e-01    1.32e-01  6.62e-02    4.8e-03
   9100    4.81e+00  4.31e+00    1.99e-01  1.79e-01    1.56e-01  1.40e-01    4.8e-03
   9200    5.90e+00  2.33e+00    4.22e-02  3.31e-02    1.91e-01  7.57e-02    4.8e-03
   9300    4.69e+00  5.11e+00    5.81e-02  2.74e-02    1.52e-01  1.66e-01    4.8e-03
   9400    3.28e+00  1.79e+00    9.41e-02  1.08e-01    1.06e-01  5.82e-02    4.8e-03
   9500    3.12e+00  2.31e+00    5.90e-02  4.75e-02    1.01e-01  7.51e-02    4.8e-03
   9600    2.79e+00  4.15e+00    5.71e-02  5.91e-03    9.04e-02  1.34e-01    4.8e-03
   9700    3.99e+00  3.36e+00    4.44e-02  2.89e-02    1.29e-01  1.09e-01    4.8e-03
   9800    3.22e+00  4.06e+00    1.28e-01  4.62e-02    1.04e-01  1.32e-01    4.8e-03
   9900    3.00e+00  4.13e+00    1.28e-01  1.42e-01    9.74e-02  1.34e-01    4.8e-03
  10000    3.02e+00  4.87e+00    6.20e-02  7.84e-02    1.01e-01  1.62e-01    4.5e-03
  10100    3.21e+00  2.19e+00    8.13e-02  8.38e-02    1.07e-01  7.27e-02    4.5e-03
  10200    3.29e+00  1.65e+00    1.01e-01  1.15e-01    1.09e-01  5.49e-02    4.5e-03
  10300    4.56e+00  1.80e+00    7.59e-02  9.04e-02    1.52e-01  5.99e-02    4.5e-03
  10400    4.49e+00  4.23e+00    6.24e-02  2.23e-02    1.49e-01  1.41e-01    4.5e-03
  10500    2.96e+00  3.06e+00    9.41e-02  4.80e-02    9.86e-02  1.02e-01    4.5e-03
  10600    4.01e+00  3.62e+00    1.35e-01  1.17e-01    1.33e-01  1.20e-01    4.5e-03
  10700    2.44e+00  2.38e+00    6.79e-02  2.44e-02    8.13e-02  7.92e-02    4.5e-03
  10800    4.56e+00  4.02e+00    1.64e-01  2.33e-01    1.52e-01  1.34e-01    4.5e-03
  10900    3.75e+00  4.70e+00    1.90e-01  1.96e-01    1.25e-01  1.56e-01    4.5e-03
  11000    4.03e+00  5.78e+00    1.03e-01  8.49e-02    1.34e-01  1.92e-01    4.5e-03
  11100    3.86e+00  1.46e+00    4.01e-02  3.25e-02    1.28e-01  4.87e-02    4.5e-03
  11200    3.30e+00  2.36e+00    5.22e-02  3.95e-02    1.10e-01  7.85e-02    4.5e-03
  11300    3.68e+00  3.44e+00    5.15e-02  1.47e-02    1.23e-01  1.15e-01    4.5e-03
  11400    4.13e+00  3.57e+00    5.32e-02  4.89e-03    1.38e-01  1.19e-01    4.5e-03
  11500    2.63e+00  2.84e+00    2.08e-01  2.78e-01    8.75e-02  9.44e-02    4.5e-03
  11600    2.65e+00  2.50e+00    6.84e-02  7.61e-02    8.83e-02  8.31e-02    4.5e-03
  11700    3.11e+00  4.34e+00    5.28e-02  2.12e-02    1.03e-01  1.45e-01    4.5e-03
  11800    3.42e+00  3.13e+00    5.06e-02  2.56e-02    1.14e-01  1.04e-01    4.5e-03
  11900    4.97e+00  6.21e+00    8.91e-02  1.16e-01    1.65e-01  2.07e-01    4.5e-03
  12000    4.64e+00  2.17e+00    1.87e-01  1.55e-01    1.54e-01  7.21e-02    4.5e-03
  12100    3.39e+00  3.79e+00    4.49e-02  9.18e-02    1.13e-01  1.26e-01    4.5e-03
  12200    3.04e+00  3.54e+00    1.77e-01  1.94e-01    1.01e-01  1.18e-01    4.5e-03
  12300    3.31e+00  2.68e+00    6.82e-02  3.46e-02    1.10e-01  8.91e-02    4.5e-03
  12400    3.53e+00  3.69e+00    6.11e-02  2.10e-02    1.17e-01  1.23e-01    4.5e-03
  12500    3.07e+00  1.41e+00    2.25e-01  1.66e-01    1.02e-01  4.66e-02    4.5e-03
  12600    3.21e+00  2.83e+00    4.88e-02  7.24e-02    1.07e-01  9.43e-02    4.5e-03
  12700    2.58e+00  3.15e+00    4.51e-02  4.20e-02    8.60e-02  1.05e-01    4.5e-03
  12800    2.64e+00  3.06e+00    4.77e-02  6.41e-02    8.80e-02  1.02e-01    4.5e-03
  12900    3.67e+00  2.42e+00    1.22e-01  9.34e-02    1.22e-01  8.04e-02    4.5e-03
  13000    3.59e+00  1.77e+00    1.19e-01  1.22e-01    1.19e-01  5.89e-02    4.5e-03
  13100    2.95e+00  2.89e+00    1.11e-01  1.02e-01    9.81e-02  9.60e-02    4.5e-03
  13200    6.74e+00  5.19e+00    9.36e-02  5.55e-02    2.24e-01  1.73e-01    4.5e-03
  13300    3.20e+00  2.15e+00    6.30e-02  5.47e-02    1.07e-01  7.15e-02    4.5e-03
  13400    3.56e+00  2.00e+00    1.02e-01  1.24e-01    1.18e-01  6.66e-02    4.5e-03
  13500    5.55e+00  3.69e+00    6.82e-02  4.26e-03    1.85e-01  1.23e-01    4.5e-03
  13600    3.69e+00  7.09e+00    1.45e-01  4.22e-04    1.23e-01  2.36e-01    4.5e-03
  13700    2.88e+00  3.85e+00    4.96e-02  4.60e-02    9.57e-02  1.28e-01    4.5e-03
  13800    3.85e+00  3.85e+00    4.94e-02  3.21e-02    1.28e-01  1.28e-01    4.5e-03
  13900    3.00e+00  1.90e+00    6.90e-02  7.43e-03    9.98e-02  6.33e-02    4.5e-03
  14000    2.93e+00  2.82e+00    5.26e-02  4.82e-02    9.73e-02  9.39e-02    4.5e-03
  14100    4.24e+00  1.74e+00    1.33e-01  7.40e-02    1.41e-01  5.79e-02    4.5e-03
  14200    4.26e+00  9.40e-01    3.58e-01  3.19e-01    1.42e-01  3.00e-02    4.5e-03
  14300    3.50e+00  4.88e+00    4.55e-02  2.30e-02    1.17e-01  1.62e-01    4.5e-03
  14400    6.60e+00  7.44e+00    2.72e-01  2.61e-01    2.19e-01  2.47e-01    4.5e-03
  14500    3.39e+00  2.31e+00    1.29e-01  1.32e-01    1.13e-01  7.68e-02    4.5e-03
  14600    2.46e+00  2.63e+00    4.41e-02  1.61e-02    8.20e-02  8.74e-02    4.5e-03
  14700    3.30e+00  4.12e+00    9.28e-02  6.75e-02    1.10e-01  1.37e-01    4.5e-03
  14800    2.97e+00  2.45e+00    5.74e-02  4.34e-02    9.88e-02  8.16e-02    4.5e-03
  14900    2.44e+00  1.47e+00    7.78e-02  8.11e-02    8.13e-02  4.89e-02    4.5e-03
  15000    3.70e+00  2.98e+00    6.45e-02  3.36e-02    1.26e-01  1.02e-01    4.3e-03
  15100    2.68e+00  1.92e+00    5.42e-02  1.18e-02    9.16e-02  6.57e-02    4.3e-03
  15200    3.51e+00  3.48e+00    4.40e-02  3.03e-02    1.20e-01  1.19e-01    4.3e-03
  15300    2.93e+00  1.76e+00    5.24e-02  8.16e-03    9.99e-02  6.00e-02    4.3e-03
  15400    2.44e+00  1.66e+00    6.87e-02  5.11e-03    8.33e-02  5.67e-02    4.3e-03
  15500    2.28e+00  1.19e+00    7.83e-02  7.65e-02    7.77e-02  4.04e-02    4.3e-03
  15600    3.24e+00  2.04e+00    1.62e-01  1.19e-01    1.11e-01  6.96e-02    4.3e-03
  15700    3.02e+00  1.20e+00    8.24e-02  3.10e-02    1.03e-01  4.11e-02    4.3e-03
  15800    2.94e+00  3.39e+00    8.81e-02  5.38e-02    1.01e-01  1.16e-01    4.3e-03
  15900    2.95e+00  2.95e+00    4.74e-02  1.98e-02    1.01e-01  1.01e-01    4.3e-03
  16000    2.81e+00  2.18e+00    6.12e-02  8.64e-02    9.60e-02  7.45e-02    4.3e-03
  16100    2.76e+00  2.53e+00    1.26e-01  1.14e-01    9.41e-02  8.63e-02    4.3e-03
  16200    4.12e+00  2.59e+00    9.53e-02  1.17e-01    1.41e-01  8.82e-02    4.3e-03
  16300    3.82e+00  1.73e+00    7.00e-02  6.70e-02    1.30e-01  5.92e-02    4.3e-03
  16400    2.88e+00  1.90e+00    7.47e-02  6.14e-02    9.82e-02  6.47e-02    4.3e-03
  16500    2.89e+00  2.08e+00    1.00e-01  7.47e-02    9.85e-02  7.10e-02    4.3e-03
  16600    3.19e+00  2.99e+00    1.09e-01  1.48e-01    1.09e-01  1.02e-01    4.3e-03
  16700    3.77e+00  2.22e+00    2.22e-01  1.84e-01    1.29e-01  7.55e-02    4.3e-03
  16800    3.30e+00  2.53e+00    6.35e-02  1.06e-01    1.13e-01  8.63e-02    4.3e-03
  16900    2.57e+00  2.21e+00    1.85e-01  1.48e-01    8.75e-02  7.54e-02    4.3e-03
  17000    2.54e+00  2.25e+00    4.20e-02  3.46e-02    8.68e-02  7.69e-02    4.3e-03
  17100    2.74e+00  2.85e+00    4.33e-02  1.94e-02    9.36e-02  9.73e-02    4.3e-03
  17200    2.28e+00  1.69e+00    1.32e-01  7.63e-02    7.78e-02  5.75e-02    4.3e-03
  17300    3.38e+00  3.41e+00    4.56e-02  6.28e-02    1.16e-01  1.16e-01    4.3e-03
  17400    2.62e+00  3.48e+00    9.31e-02  5.63e-02    8.96e-02  1.19e-01    4.3e-03
  17500    3.68e+00  1.92e+00    3.76e-02  6.68e-02    1.26e-01  6.54e-02    4.3e-03
  17600    2.56e+00  1.24e+00    1.20e-01  7.90e-02    8.74e-02  4.23e-02    4.3e-03
  17700    2.18e+00  1.34e+00    1.25e-01  1.55e-01    7.42e-02  4.56e-02    4.3e-03
  17800    2.86e+00  1.78e+00    1.07e-01  1.05e-01    9.76e-02  6.07e-02    4.3e-03
  17900    2.52e+00  3.46e+00    5.16e-02  4.37e-02    8.61e-02  1.18e-01    4.3e-03
  18000    4.82e+00  2.76e+00    4.11e-02  3.47e-02    1.65e-01  9.42e-02    4.3e-03
  18100    3.28e+00  3.07e+00    4.61e-02  2.54e-02    1.12e-01  1.05e-01    4.3e-03
  18200    3.17e+00  2.30e+00    6.19e-02  3.82e-02    1.08e-01  7.85e-02    4.3e-03
  18300    2.29e+00  9.56e-01    1.71e-01  1.67e-01    7.81e-02  3.21e-02    4.3e-03
  18400    2.10e+00  2.26e+00    4.36e-02  3.63e-02    7.16e-02  7.73e-02    4.3e-03
  18500    2.46e+00  7.00e-01    7.39e-02  9.44e-03    8.40e-02  2.39e-02    4.3e-03
  18600    4.04e+00  3.41e+00    5.19e-02  7.02e-02    1.38e-01  1.16e-01    4.3e-03
  18700    4.45e+00  3.77e+00    5.64e-02  9.19e-02    1.52e-01  1.29e-01    4.3e-03
  18800    1.99e+00  1.70e+00    7.17e-02  5.70e-02    6.80e-02  5.81e-02    4.3e-03
  18900    2.49e+00  2.16e+00    4.03e-02  2.55e-02    8.51e-02  7.38e-02    4.3e-03
  19000    3.99e+00  3.24e+00    3.96e-02  2.73e-02    1.36e-01  1.11e-01    4.3e-03
  19100    2.92e+00  1.36e+00    7.40e-02  9.30e-02    9.97e-02  4.62e-02    4.3e-03
  19200    2.30e+00  1.68e+00    5.84e-02  2.97e-02    7.85e-02  5.72e-02    4.3e-03
  19300    3.02e+00  3.66e+00    5.42e-02  1.40e-02    1.03e-01  1.25e-01    4.3e-03
  19400    4.34e+00  5.02e+00    5.46e-02  1.03e-01    1.48e-01  1.72e-01    4.3e-03
  19500    5.31e+00  3.32e+00    1.27e-01  1.02e-01    1.81e-01  1.13e-01    4.3e-03
  19600    2.42e+00  3.45e+00    1.04e-01  8.90e-02    8.27e-02  1.18e-01    4.3e-03
  19700    2.15e+00  1.07e+00    1.46e-01  7.27e-02    7.32e-02  3.64e-02    4.3e-03
  19800    2.34e+00  8.83e-01    8.00e-02  1.21e-01    7.99e-02  2.99e-02    4.3e-03
  19900    3.49e+00  2.49e+00    4.01e-02  2.06e-02    1.19e-01  8.51e-02    4.3e-03
  20000    2.88e+00  1.82e+00    4.22e-02  7.21e-02    1.01e-01  6.36e-02    4.1e-03
  20100    2.49e+00  1.32e+00    8.55e-02  2.30e-02    8.70e-02  4.63e-02    4.1e-03
  20200    2.76e+00  2.78e+00    8.44e-02  1.10e-01    9.66e-02  9.73e-02    4.1e-03
  20300    2.23e+00  1.38e+00    5.54e-02  4.08e-03    7.81e-02  4.84e-02    4.1e-03
  20400    2.09e+00  1.88e+00    5.55e-02  7.37e-02    7.30e-02  6.59e-02    4.1e-03
  20500    2.28e+00  2.34e+00    1.19e-01  1.59e-01    7.99e-02  8.17e-02    4.1e-03
  20600    2.60e+00  1.66e+00    1.24e-01  3.23e-02    9.10e-02  5.81e-02    4.1e-03
  20700    3.36e+00  1.90e+00    1.44e-01  1.73e-01    1.18e-01  6.62e-02    4.1e-03
